Additional Order items,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Segment,Customer State,Customer Zipcode,Market,Order Customer Id,Order Date,Order Id,Order Region,Order Item Total,Order Quantity,Product Price,Profit Margin,Profit Per Order,Sales
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Sean,568,Consumer,PR,725,LATAM,568,17-06-2017,61558,South America,269.980011,1,299.980011,26.10%,78.29000092,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Carol,3341,Consumer,PR,725,LATAM,3341,18-04-2017,57472,South America,269.980011,1,299.980011,-5.40%,-16.20000076,800
Camping & Hiking,Camping & Hiking,Mayaguez,Puerto Rico,Mary,7459,Consumer,PR,680,LATAM,7459,24-05-2017,59898,Central America,263.980011,1,299.980011,3.90%,11.61999989,800
Camping & Hiking,Camping & Hiking,Mayaguez,Puerto Rico,Mary,7459,Consumer,PR,680,LATAM,7459,24-05-2017,59898,Central America,260.980011,1,299.980011,-1.10%,-3.390000105,800
Hunting & Shooting,Hunting & Shooting,Caguas,Puerto Rico,Mary,10740,Consumer,PR,725,LATAM,10740,05-06-2017,58644,Central America,130.4900055,1,149.9900055,-63.80%,-95.65000153,149.9900055
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Amanda,5193,Consumer,PR,725,LATAM,5193,15-04-2017,57233,South America,260.980011,1,299.980011,-221.90%,-665.5100098,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,2092,Consumer,PR,725,LATAM,2092,04-10-2017,56882,Caribbean,254.9799957,1,299.980011,23.80%,71.40000153,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Andrea,9645,Consumer,PR,725,LATAM,9645,23-01-2017,51638,Central America,254.9799957,1,299.980011,-10.60%,-31.87000084,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,997,Consumer,PR,725,LATAM,997,06-03-2017,60578,Caribbean,251.9799957,1,299.980011,39.50%,118.4300003,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,3339,Consumer,PR,725,LATAM,3339,16-03-2017,55200,Caribbean,251.9799957,1,299.980011,26.30%,78.87000275,800
